isEdited,userName,title,review,date,rating,app_name,app_id,developerResponse
False,uweonline,Praktisch und einfach zu bedienen,Die Bedienung ist einfach und die App ist übersichtlich gestaltet.,2022-01-25 07:00:36,5,mini,1519459056,
False,Mdisbezchskcidnv,Enttäuschend,"Großer Rückschritt gegenüber der vorherigen App. Hupe und Licht sind nicht mehr fernbedienbar.
Es gibt keine Auswertung mehr hinsichtlich des elektrischen Fahrverhaltens, der elektrischen Effizienz, der Rekuperation usw.
Außer der Liste der Aufladungen und der etwas schöneren Optik ist kein Fortschritt zur bisherigen App zu erkennen.
Habe sie wieder deinstalliert und hoffe, dass die alte App noch lange unterstützt wird.
Enttäuschend ist auch noch, dass die Planung des Ladens nach mehreren Wochen noch immer nicht funktioniert!",2020-08-13 21:13:04,5,mini,1519459056,
False,@Pat@,Tolle App - mit einem Wunsch für den MINI SE,"Eine tolle und übersichtliche App und schön gestaltet !!

Ich hätte nur einen Wunsch für den Mini SE 😃
Die Möglichkeit einen eigenen Zielwert fürs Aufladen des Autos einzugeben, so dass das Fahrzeug sich beim erreichen des eingestellten Wert eine Nachricht schickt ( nicht nur wenn vollständig geladen ist ).
z.B. bei erreichen von 80% Akkustand",2021-03-02 08:09:17,5,mini,1519459056,"{'id': 21520458, 'body': ""Hi '@Pat@'! Danke für Dein positives Feedback! Schön, dass Dir die MINI App gefällt! Weitere Funktionen, inkl. zusätzlichen eDrive Funktionen, folgen in künftigen Releases der MINI App. Wir informieren über neue Funktionen immer in den App Release Notes. - MINI App Support Team\r"", 'modified': '2021-03-08T18:05:48Z'}"
False,Hein964,Gute App - mit Einschränkung,"Diese App ist grundsätzlich gut zu nutzen. Bereits im März wurde angemerkt, dass die Aufladekapazität per App nicht steuerbar ist; diese Einstellung lässt sich auch im Fahrzeug nicht vornehmen. Mir fehlt eine weitere m. E. wichtige Einstellungsmöglichkeiten in der App. Leider lässt sich die Stromstärke zum Laden nicht einstellen. Dieses ist wichtig, um bei Ladungen solarunterstützt diese zu optimieren. Es macht auch Sinn, das Fahrzeug zu Hause ins WLAN einzubinden, um Fahrzeugupdates schneller zu installieren. Was mir grundsätzlich auffiel, ist die Schwerfälligkeit der Impulsweitergabe an das Fahrzeug, zum Beispiel beim Türöffnen etc. Es wäre schön wenn die App - auch in kürzen Zeitabständen - aktualisiert wird.",2021-11-08 09:18:37,4,mini,1519459056,"{'id': 26235114, 'body': ""Hi 'Hein964'! Danke fü Dein ausführliches Feedback! Wir arbeiten stetig an einer Verbesserung der My BMW App und werden Deine Anregungen an unser Produktteam weiterleiten. Wir informieren über neue Features in den App Release Notes.  - My BMW App Support Team\r\n"", 'modified': '2021-11-12T13:35:52Z'}"
False,Georg333,"fast gut, mir fehlt nur die Funktion zum stoppen des Ladevorganges.",De,2021-04-04 14:58:58,5,mini,1519459056,
False,Dennisv89,Tolles Design & sehr gute Funktionalität!,Sehr übersichtliches und ansprechendes Design. Tolle Funktionen. Nun habe ich stets alle wichtigen Informationen zu meinem MINI auf einen Blick zur Hand.,2020-07-28 06:33:37,5,mini,1519459056,
False,torxmaster,Kleiner Wermutstropfen,"die App ist eigentlich so angenehm gestaltet, dass man sie gerne benutzt. Leider kann nur jeweils ein App-User sich mit dem Fahrzeug verbinden, um die entsprechenden Informationen zu erhalten. Das ist schade, besonders wenn mehrere Familienmitglieder den Mini nutzen...",2021-03-21 17:11:19,4,mini,1519459056,"{'id': 21843999, 'body': ""Hi 'torxmaster'! Danke für Dein Feedback! Ein Fahrzeug kann immer nur mit einer MINI ID verbunden sein. Aber mehrere Personen können die MINI App auf unterschiedlichen Smartphones mit demselben Konto nutzen. - MINI App Support Team\r"", 'modified': '2021-03-24T15:02:54Z'}"
False,Julius.hxn,Super App bis auf eine Kleinigkeit,"Alles ist sehr strukturiert aufgebaut und wirklich leicht zu bedienen. 
Wünschen würde ich mir nur noch die Möglichkeit, das Panoramadach über die App schließen zu können, da nur angezeigt wird ob es geöffnet oder geschlossen ist und mehr leider nicht ;)",2021-11-17 18:23:13,5,mini,1519459056,
False,Robert Kemna,Super Fahrzeug-App mit zwei fehlenden Funktionen,"Die App ist wie die my BMW App praktikabel und hilft gerade bei einem E-Auto die Klimatisierung früh zu starten oder den Ladezustand zu sehen. Allerdings fehlen mir zwei Funktionen, die ich an der myAudi App sehr geschätzt habe, vermisse. Zum Einen war die Integration von Siri sehr hilfreich, da man Siri einfach den Befehl zum Starten der Klimaanlage geben konnte. Zweitens scheint immer die letzte Aktualisierung des Fahrzeugzustandes vor einigen Stunden gewesen zu sein. Eine Aktualisierung auf den momentanen Stand wäre toll. Wenn Siri und die Aktualisierung noch dazu kommen, wäre das toll!",2021-11-21 13:39:12,4,mini,1519459056,"{'id': 26497786, 'body': 'Hi Robert! Danke für Dein ausführliches Feedback! Um den digitalen Assistenten Amazon Alexa im Fahrzeug nutzen zu können, muss Dein MINI ab 11/2018 mit der Sonderausstattung ConnectedDrive Services (SA 6AK) und dem Paket Connected Navigation Plus (SA 7GK) produziert worden sein. Wir leiten Deine Wünsche, wie eine Integration von Siri in die MINI App, an unser Produktteam weiter. - MINI App Support Team\r\n', 'modified': '2021-11-26T15:00:11Z'}"
False,Prinzessin_Kenny,Design ganz schön doch etwas fehlt,"Was das Design angeht wurde hier natürlich einiges getan. Optisch spricht es natürlich weit aus mehr an und passt auch zu der Richtung in die Mini (BMW) da hin steuert, aber es fehlt einfach etwas.

Ich habe mir die Bewertungen der anderen durch gelesen und habe da das Thema schon öfters mitgelesen, somit bin ich nicht der einzige der es vermisst. Schade nur das darauf nie wirklich eingegangen wurde sondern nur (... mit der Aktuellen Version X.X.X ist bisher dies und das möglich...) aber nichts konkretes zu unserem Anliegen.

Wo ist die Funktion für die Remote Hupe ?
Wann wird sie Hinzugefügt?
Wird sie überhaupt hinzugefügt? 
Ist die Nachfrage zu gering oder wieso wurde sie bisher noch nicht hinzugefügt?

Es mag eine kleine Funktion sein, aber sie ist praktischer wie man glaubt. Begründungen habe ich jetzt schon oft gelesen deswegen werde ich keine hinzufügen. 

Kurz und knapp wir hätten die Funktion gerne wieder.
Sonst schöne Arbeit was die App angeht da kann man nicht meckern.",2021-02-14 09:56:07,5,mini,1519459056,"{'id': 22939313, 'body': 'Hi \'Prinzessin_Kenny\'! Mit der aktuellen Version der MINI App ist nun der Remote Service ""Hupe aktivieren"" verfügbar, mit dem Du die Hupe Deines MINI über die MINI App betätigen kannst. - MINI App Support Team\r\n', 'modified': '2021-05-21T14:13:27Z'}"
